Frame,Landmark Name,Landmark ID,X,Y,Z
1.0,NOSE,0,0.42535507678985596,0.434439092874527,-0.3835661709308624
1.0,RIGHT_SHOULDER,1,0.30653226375579834,0.506352424621582,-0.6363635659217834
1.0,RIGHT_ELBOW,2,0.28978678584098816,0.611224889755249,-0.697907030582428
1.0,RIGHT_WRIST,3,0.3959953188896179,0.6783687472343445,-0.692724347114563
1.0,LEFT_SHOULDER,4,0.38026461005210876,0.5090460181236267,0.04854315519332886
1.0,LEFT_ELBOW,5,0.42586249113082886,0.5807344913482666,0.23695498704910278
1.0,LEFT_WRIST,6,0.5165444016456604,0.6225637793540955,0.10578253120183945
1.0,RIGHT_HIP,7,0.2938283681869507,0.6765611171722412,-0.2053138166666031
1.0,RIGHT_KNEE,8,0.30955860018730164,0.8075931668281555,-0.21351534128189087
1.0,RIGHT_ANKLE,9,0.23045267164707184,0.9372252225875854,-0.12433402985334396
1.0,LEFT_HIP,10,0.342750608921051,0.6750404834747314,0.20525120198726654
1.0,LEFT_KNEE,11,0.40600889921188354,0.7908706665039062,0.4485529959201813
1.0,LEFT_ANKLE,12,0.478543758392334,0.8952323794364929,0.7439349889755249
2.0,NOSE,0,0.42302393913269043,0.43509799242019653,-0.37086015939712524
2.0,RIGHT_SHOULDER,1,0.30730894207954407,0.5063656568527222,-0.6226889491081238
2.0,RIGHT_ELBOW,2,0.28978243470191956,0.6112107634544373,-0.6826366186141968
2.0,RIGHT_WRIST,3,0.39659929275512695,0.6784185171127319,-0.6859363913536072
2.0,LEFT_SHOULDER,4,0.3802407681941986,0.5090184807777405,0.05750216916203499
2.0,LEFT_ELBOW,5,0.4268597960472107,0.5800994038581848,0.24050623178482056
2.0,LEFT_WRIST,6,0.5165432691574097,0.6221784353256226,0.1119624450802803
2.0,RIGHT_HIP,7,0.293597549200058,0.6756902933120728,-0.2042618691921234
2.0,RIGHT_KNEE,8,0.3092460334300995,0.8077025413513184,-0.21709099411964417
2.0,RIGHT_ANKLE,9,0.23117628693580627,0.9361529350280762,-0.12797942757606506
2.0,LEFT_HIP,10,0.34259581565856934,0.6747311949729919,0.20419442653656006
2.0,LEFT_KNEE,11,0.4043615162372589,0.7914057970046997,0.40890103578567505
2.0,LEFT_ANKLE,12,0.4785350263118744,0.8954806327819824,0.6624929904937744
3.0,NOSE,0,0.42107629776000977,0.4352582097053528,-0.3721511960029602
3.0,RIGHT_SHOULDER,1,0.30745959281921387,0.5063562393188477,-0.6235293745994568
3.0,RIGHT_ELBOW,2,0.2897648215293884,0.611203670501709,-0.6838715672492981
3.0,RIGHT_WRIST,3,0.39657512307167053,0.6789578199386597,-0.686838686466217
3.0,LEFT_SHOULDER,4,0.38024812936782837,0.5085583925247192,0.0571187399327755
3.0,LEFT_ELBOW,5,0.4273861050605774,0.5797458291053772,0.24052700400352478
3.0,LEFT_WRIST,6,0.5165406465530396,0.6214941740036011,0.11370225250720978
3.0,RIGHT_HIP,7,0.29346588253974915,0.6753243803977966,-0.20402482151985168
3.0,RIGHT_KNEE,8,0.30906251072883606,0.8081138730049133,-0.21628721058368683
3.0,RIGHT_ANKLE,9,0.23162822425365448,0.9356560707092285,-0.11648232489824295
3.0,LEFT_HIP,10,0.3426417410373688,0.674604594707489,0.20395395159721375
3.0,LEFT_KNEE,11,0.4033064842224121,0.792500376701355,0.3989623188972473
3.0,LEFT_ANKLE,12,0.4785153269767761,0.8957584500312805,0.6501089930534363
4.0,NOSE,0,0.4192030131816864,0.43558454513549805,-0.3843030631542206
4.0,RIGHT_SHOULDER,1,0.3069007992744446,0.5064212083816528,-0.624370813369751
4.0,RIGHT_ELBOW,2,0.2896716892719269,0.6113402247428894,-0.6849508285522461
4.0,RIGHT_WRIST,3,0.39657512307167053,0.6802998781204224,-0.6876703500747681
4.0,LEFT_SHOULDER,4,0.38024869561195374,0.5085263252258301,0.04812419041991234
4.0,LEFT_ELBOW,5,0.43046697974205017,0.5793874859809875,0.23043876886367798
4.0,LEFT_WRIST,6,0.5171751379966736,0.6203423142433167,0.10762257128953934
4.0,RIGHT_HIP,7,0.2930493950843811,0.6750372052192688,-0.20243051648139954
4.0,RIGHT_KNEE,8,0.308834969997406,0.8085771799087524,-0.2124466747045517
4.0,RIGHT_ANKLE,9,0.2318543940782547,0.9354535341262817,-0.10544025897979736
4.0,LEFT_HIP,10,0.34261080622673035,0.6746033430099487,0.20234811305999756
4.0,LEFT_KNEE,11,0.40170300006866455,0.7936279773712158,0.3966274559497833
4.0,LEFT_ANKLE,12,0.4785158336162567,0.8961092233657837,0.6467955112457275
5.0,NOSE,0,0.41732797026634216,0.43615689873695374,-0.38389116525650024
5.0,RIGHT_SHOULDER,1,0.30548542737960815,0.5065323114395142,-0.6181641221046448
5.0,RIGHT_ELBOW,2,0.2893460988998413,0.6113031506538391,-0.6789685487747192
5.0,RIGHT_WRIST,3,0.3960267901420593,0.6807337999343872,-0.6818265914916992
5.0,LEFT_SHOULDER,4,0.38027194142341614,0.5085335969924927,0.048321258276700974
5.0,LEFT_ELBOW,5,0.4352608621120453,0.5785126090049744,0.23087404668331146
5.0,LEFT_WRIST,6,0.5182458758354187,0.6185500621795654,0.1125958114862442
5.0,RIGHT_HIP,7,0.29301533102989197,0.6750437021255493,-0.19999398291110992
5.0,RIGHT_KNEE,8,0.3086554706096649,0.8091870546340942,-0.2062985897064209
5.0,RIGHT_ANKLE,9,0.23201380670070648,0.9352718591690063,-0.0929984301328659
5.0,LEFT_HIP,10,0.34280505776405334,0.674734354019165,0.19989855587482452
5.0,LEFT_KNEE,11,0.40146929025650024,0.7951086163520813,0.3883618712425232
5.0,LEFT_ANKLE,12,0.4785076975822449,0.89618980884552,0.6323566436767578
6.0,NOSE,0,0.41373562812805176,0.43786221742630005,-0.3573899567127228
6.0,RIGHT_SHOULDER,1,0.3044791519641876,0.5067406892776489,-0.5896166563034058
6.0,RIGHT_ELBOW,2,0.28898733854293823,0.6113030314445496,-0.65024733543396
6.0,RIGHT_WRIST,3,0.39546817541122437,0.681512713432312,-0.6527846455574036
6.0,LEFT_SHOULDER,4,0.379853218793869,0.5085293054580688,0.06292004138231277
6.0,LEFT_ELBOW,5,0.43621858954429626,0.5766798257827759,0.25386178493499756
6.0,LEFT_WRIST,6,0.5185964107513428,0.6144329309463501,0.15593288838863373
6.0,RIGHT_HIP,7,0.29288777709007263,0.6749527454376221,-0.1945013403892517
6.0,RIGHT_KNEE,8,0.3086450695991516,0.8096387982368469,-0.210604727268219
6.0,RIGHT_ANKLE,9,0.2320643961429596,0.9352869987487793,-0.11886034160852432
6.0,LEFT_HIP,10,0.3428093492984772,0.6747673749923706,0.19441944360733032
6.0,LEFT_KNEE,11,0.40085047483444214,0.7963042259216309,0.349459707736969
6.0,LEFT_ANKLE,12,0.478609561920166,0.8964653015136719,0.5572917461395264
7.0,NOSE,0,0.41173893213272095,0.43818631768226624,-0.3557814657688141
7.0,RIGHT_SHOULDER,1,0.3028835356235504,0.5067674517631531,-0.58906090259552
