Frame,Landmark Name,Landmark ID,X,Y,Z
1.0,NOSE,0,0.48190993070602417,0.48919594287872314,-0.22270934283733368
1.0,RIGHT_SHOULDER,1,0.40892672538757324,0.5169633030891418,-0.1921226531267166
1.0,RIGHT_ELBOW,2,0.38535168766975403,0.595680296421051,-0.19229646027088165
1.0,RIGHT_WRIST,3,0.3904668390750885,0.6901553273200989,-0.22194942831993103
1.0,LEFT_SHOULDER,4,0.4715753495693207,0.5587198734283447,-0.0683506429195404
1.0,LEFT_ELBOW,5,0.45539015531539917,0.642200767993927,-0.03256435692310333
1.0,LEFT_WRIST,6,0.43992623686790466,0.7236277461051941,-0.09893371164798737
1.0,RIGHT_HIP,7,0.3947257399559021,0.6818394660949707,-0.03156902268528938
1.0,RIGHT_KNEE,8,0.38138002157211304,0.8007252216339111,-0.055193740874528885
1.0,RIGHT_ANKLE,9,0.37229448556900024,0.9239029884338379,0.04018327593803406
1.0,LEFT_HIP,10,0.4312070906162262,0.6924088001251221,0.031551361083984375
1.0,LEFT_KNEE,11,0.4487660527229309,0.8198508620262146,0.041149888187646866
1.0,LEFT_ANKLE,12,0.45679527521133423,0.9403436183929443,0.13994833827018738
2.0,NOSE,0,0.48107606172561646,0.48919668793678284,-0.2264338731765747
2.0,RIGHT_SHOULDER,1,0.40924447774887085,0.5146403908729553,-0.17602421343326569
2.0,RIGHT_ELBOW,2,0.3851143717765808,0.5934572219848633,-0.1597057580947876
2.0,RIGHT_WRIST,3,0.388520747423172,0.6852225661277771,-0.1846981942653656
2.0,LEFT_SHOULDER,4,0.4710526466369629,0.5587256550788879,-0.09270570427179337
2.0,LEFT_ELBOW,5,0.45536765456199646,0.6436014771461487,-0.05338393896818161
2.0,LEFT_WRIST,6,0.4391990602016449,0.7244391441345215,-0.11752408742904663
2.0,RIGHT_HIP,7,0.3952180743217468,0.681837260723114,-0.022844016551971436
2.0,RIGHT_KNEE,8,0.3811796009540558,0.8012139201164246,-0.0297100692987442
2.0,RIGHT_ANKLE,9,0.3722947835922241,0.9236646890640259,0.055564116686582565
2.0,LEFT_HIP,10,0.43136054277420044,0.6924920678138733,0.022842276841402054
2.0,LEFT_KNEE,11,0.44833213090896606,0.8198972940444946,0.031895872205495834
2.0,LEFT_ANKLE,12,0.45672178268432617,0.9406607747077942,0.11500430107116699
3.0,NOSE,0,0.479829877614975,0.4892001152038574,-0.23622317612171173
3.0,RIGHT_SHOULDER,1,0.40924692153930664,0.5138871073722839,-0.1805409938097
3.0,RIGHT_ELBOW,2,0.3848639130592346,0.5932689309120178,-0.1696401834487915
3.0,RIGHT_WRIST,3,0.38765212893486023,0.6849598288536072,-0.1962108165025711
3.0,LEFT_SHOULDER,4,0.470205694437027,0.5586938858032227,-0.09777025878429413
3.0,LEFT_ELBOW,5,0.4550986886024475,0.6440569758415222,-0.058577943593263626
3.0,LEFT_WRIST,6,0.43885359168052673,0.7248120903968811,-0.12356042861938477
3.0,RIGHT_HIP,7,0.3952104449272156,0.6821128726005554,-0.022758733481168747
3.0,RIGHT_KNEE,8,0.38094931840896606,0.8021039366722107,-0.026234429329633713
3.0,RIGHT_ANKLE,9,0.3722786009311676,0.9233396649360657,0.05973721295595169
3.0,LEFT_HIP,10,0.43117302656173706,0.6925615072250366,0.022757135331630707
3.0,LEFT_KNEE,11,0.447746217250824,0.8199692368507385,0.026899050921201706
3.0,LEFT_ANKLE,12,0.45657452940940857,0.9410995244979858,0.10542124509811401
4.0,NOSE,0,0.4782983362674713,0.48917171359062195,-0.233219176530838
4.0,RIGHT_SHOULDER,1,0.4089769423007965,0.5136837959289551,-0.17487920820713043
4.0,RIGHT_ELBOW,2,0.38394373655319214,0.593319296836853,-0.16293635964393616
4.0,RIGHT_WRIST,3,0.3868531882762909,0.6845752596855164,-0.19242455065250397
4.0,LEFT_SHOULDER,4,0.469580739736557,0.558369517326355,-0.09229059517383575
4.0,LEFT_ELBOW,5,0.45478343963623047,0.6444265842437744,-0.054291851818561554
4.0,LEFT_WRIST,6,0.43854618072509766,0.7251107096672058,-0.12158094346523285
4.0,RIGHT_HIP,7,0.3946838974952698,0.6829648613929749,-0.023018937557935715
4.0,RIGHT_KNEE,8,0.3803063929080963,0.8027243614196777,-0.03241284564137459
4.0,RIGHT_ANKLE,9,0.3722071051597595,0.9233526587486267,0.058486659079790115
4.0,LEFT_HIP,10,0.4305915832519531,0.6936519742012024,0.023021552711725235
4.0,LEFT_KNEE,11,0.44770583510398865,0.8204305171966553,0.02524779736995697
4.0,LEFT_ANKLE,12,0.45643535256385803,0.941058337688446,0.11335508525371552
5.0,NOSE,0,0.4772520661354065,0.4890642464160919,-0.23845060169696808
5.0,RIGHT_SHOULDER,1,0.4078969955444336,0.5135822296142578,-0.17595241963863373
5.0,RIGHT_ELBOW,2,0.38256004452705383,0.5934775471687317,-0.16402345895767212
5.0,RIGHT_WRIST,3,0.38607269525527954,0.6839956045150757,-0.1966584026813507
5.0,LEFT_SHOULDER,4,0.4694068431854248,0.5571640729904175,-0.09482688456773758
5.0,LEFT_ELBOW,5,0.45478588342666626,0.6437640190124512,-0.05898216366767883
5.0,LEFT_WRIST,6,0.438404381275177,0.7234774827957153,-0.13143867254257202
5.0,RIGHT_HIP,7,0.3942647874355316,0.6834747195243835,-0.023298965767025948
5.0,RIGHT_KNEE,8,0.3797825574874878,0.8030428290367126,-0.03290199488401413
5.0,RIGHT_ANKLE,9,0.37211519479751587,0.9234097003936768,0.0586773082613945
5.0,LEFT_HIP,10,0.4302901327610016,0.6942750215530396,0.02330165170133114
